dsArticulo,marca_linea,proveedor_ref
FIAMBRE DE CERDO X 6 KG PALADINI,PALADINI REFRIGERADOS,FRIGORIFICO PALADINI SA
"FIAMBRE DE PATA X 4,5 KG PALADINI",PALADINI REFRIGERADOS,FRIGORIFICO PALADINI SA
FIAMBRE PARA EMP X KG JET-FOOD,GRANJA TRES ARROYOS REFRIGERADOS,GRANJA TRES ARROYOS SOCIEDAD ANONIMA
FIAMBRE PATA CERDO X KG CAGNOLI,CANOGLI REFRIGERADOS,CANOGLI
FIAMBRE PATA CERDO X KG LA COMARCA,GRANJA TRES ARROYOS REFRIGERADOS,GRANJA TRES ARROYOS SOCIEDAD ANONIMA
FRUTILLA A LA CREMA,CREMAS HELADAS,CREMAS HELADAS DE MALVINAS SRL
FRUTILLA X 500 GRS BIOMAC,BIOMAC FOOD SERVICE,BIOMAC SRL
FRUTOS DEL BOSQUE X 500 GRS BIOMAC,BIOMAC FOOD SERVICE,BIOMAC SRL
FRUTOS ROJOS X 500 GRS BIOMAC,BIOMAC FOOD SERVICE,BIOMAC SRL
HAMB 2 X 80 GRS FRIAR,FRIAR RETAIL,FRIAR S. A
HAMB 24 X 198 GRS FRIAR,FRIAR RETAIL,FRIAR S. A
HAMB 4 X 80 GRS FRIAR,FRIAR RETAIL,FRIAR S. A
HAMB 40 X 125 GRS FRIAR,FRIAR RETAIL,FRIAR S. A
HAMB CARNE 60 X 80 GRS PALADINI,SIN CATEGORIA,FRIGORIFICO PALADINI SA
HAMB DE POLLO X 166 GRS GTA,GRANJA TRES ARROYOS RETAIL,GRANJA TRES ARROYOS SOCIEDAD ANONIMA
HAMB DE SOJA TRADICIONAL 4 X 75 GRS VEGETALEX,VEGETALEX RETAIL,PROTEINAS ARGENTINAS SA
HAMB FINAS PALADINI 36 X 114 GRS,SIN CATEGORIA,FRIGORIFICO PALADINI SA
HAMB FINITO 2 X 55 GRS FRIAR,FRIAR RETAIL,FRIAR S. A
HAMB GRANDE 40 X 110 GRS FRIAR,FRIAR RETAIL,FRIAR S. A
HOT-DOG 100% VEGETAL X 225 GRS VEGETALEX,VEGETALEX RETAIL,PROTEINAS ARGENTINAS SA
HUMMUS BABAGANOUSH KAMAR X 230 GRS,PALADINI REFRIGERADOS,FRIGORIFICO PALADINI SA
HUMMUS CLASICO KAMAR X 230 GRS,PALADINI REFRIGERADOS,FRIGORIFICO PALADINI SA
HUMMUS GUACAMOLE KAMAR X 230 GRS,PALADINI REFRIGERADOS,FRIGORIFICO PALADINI SA
HUMMUS OLIVAS NEGRAS KAMAR X 230 GRS,PALADINI REFRIGERADOS,FRIGORIFICO PALADINI SA
HUMMUS PIMENTÓN KAMAR X 230 GRS,PALADINI REFRIGERADOS,FRIGORIFICO PALADINI SA
